SNO,NAME OF COMPANY,SYMBOL
1,20 Microns Limited,20MICRONS
2,21st Century Management Services Limited,21STCENMGM
3,3i Infotech Limited,3IINFOTECH
4,3M India Limited,3MINDIA
5,3P Land Holdings Limited,3PLAND
6,5Paisa Capital Limited,5PAISA
7,63 moons technologies limited,63MOONS
8,A2Z Infra Engineering Limited,A2ZINFRA
9,Aarti Drugs Limited,AARTIDRUGS
10,Aarti Industries Limited,AARTIIND
11,Aarvee Denims & Exports Limited,AARVEEDEN
12,Aavas Financiers Limited,AAVAS
13,Aban Offshore Limited,ABAN
14,ABB India Limited,ABB
15,Abbott India Limited,ABBOTINDIA
16,Aditya Birla Capital Limited,ABCAPITAL
17,Aditya Birla Fashion and Retail Limited,ABFRL
18,ABM International Limited,ABMINTLTD
19,ACC Limited,ACC
20,Accelya Solutions India Limited,ACCELYA
21,Action Construction Equipment Limited,ACE
22,Adani Enterprises Limited,ADANIENT
23,Adani Gas Limited,ADANIGAS
24,Adani Green Energy Limited,ADANIGREEN
25,Adani Ports and Special Economic Zone Limited,ADANIPORTS
26,Adani Power Limited,ADANIPOWER
27,Adani Transmission Limited,ADANITRANS
28,ADF Foods Limited,ADFFOODS
29,Adhunik Metaliks Limited,ADHUNIK
30,Adhunik Industries Limited,ADHUNIKIND
31,Adlabs Entertainment Limited,ADLABS
32,Ador Welding Limited,ADORWELD
33,Adroit Infotech Limited,ADROITINFO
34,Allied Digital Services Limited,ADSL
35,Advani Hotels & Resorts (India) Limited,ADVANIHOTR
36,Advanced Enzyme Technologies Limited,ADVENZYMES
37,Aegis Logistics Limited,AEGISCHEM
38,Affle (India) Limited,AFFLE
39,Agarwal Industrial Corporation Limited,AGARIND
40,AGC Networks Limited,AGCNET
41,Agri-Tech (India) Limited,AGRITECH
42,Agro Phos India Limited,AGROPHOS
43,Asian Hotels (East) Limited,AHLEAST
44,Ahluwalia Contracts (India) Limited,AHLUCONT
45,Asian Hotels (West) Limited,AHLWEST
46,AIA Engineering Limited,AIAENG
47,Monnet Ispat & Energy Limited,AIONJSW
48,Airan Limited,AIRAN
49,Ajanta Pharma Limited,AJANTPHARM
50,Ajmera Realty & Infra India Limited,AJMERA
51,Akash Infra-Projects Limited,AKASH
52,AksharChem India Limited,AKSHARCHEM
53,Aksh Optifibre Limited,AKSHOPTFBR
54,Akzo Nobel India Limited,AKZOINDIA
55,Alankit Limited,ALANKIT
56,Albert David Limited,ALBERTDAVD
57,Allahabad Bank,ALBK
58,Alchemist Limited,ALCHEM
59,Alembic Limited,ALEMBICLTD
60,Alicon Castalloy Limited,ALICON
61,Alkali Metals Limited,ALKALI
62,Alkem Laboratories Limited,ALKEM
63,Alkyl Amines Chemicals Limited,ALKYLAMINE
64,Allcargo Logistics Limited,ALLCARGO
65,Allsec Technologies Limited,ALLSEC
66,Almondz Global Securities Limited,ALMONDZ
67,Alok Industries Limited,ALOKTEXT
68,Alpa Laboratories Limited,ALPA
69,Alphageo (India) Limited,ALPHAGEO
70,Alps Industries Limited,ALPSINDUS
71,Amara Raja Batteries Limited,AMARAJABAT
72,Amber Enterprises India Limited,AMBER
73,Ambika Cotton Mills Limited,AMBIKCO
74,Ambuja Cements Limited,AMBUJACEM
75,AMD Industries Limited,AMDIND
76,Amj Land Holdings Limited,AMJLAND
77,Amrutanjan Health Care Limited,AMRUTANJAN
78,Anant Raj Limited,ANANTRAJ
79,Andhra Bank,ANDHRABANK
80,Andhra Cements Limited,ANDHRACEMT
81,The Andhra Sugars Limited,ANDHRSUGAR
82,Anik Industries Limited,ANIKINDS
83,Ankit Metal & Power Limited,ANKITMETAL
84,Ansal Properties & Infrastructure Limited,ANSALAPI
85,Ansal Housing Limited,ANSALHSG
86,Antarctica Limited,ANTGRAPHIC
87,The Anup Engineering Limited,ANUP
88,Apar Industries Limited,APARINDS
89,Anjani Portland Cement Limited,APCL
90,Apcotex Industries Limited,APCOTEXIND
91,Apex Frozen Foods Limited,APEX
92,APL Apollo Tubes Limited,APLAPOLLO
93,Alembic Pharmaceuticals Limited,APLLTD
94,Apollo Micro Systems Limited,APOLLO
95,Apollo Hospitals Enterprise Limited,APOLLOHOSP
96,Apollo Pipes Limited,APOLLOPIPE
97,Apollo Tyres Limited,APOLLOTYRE
98,Apollo Sindoori Hotels Limited,APOLSINHOT
99,Aptech Limited,APTECHT
100,Archidply Industries Limited,ARCHIDPLY
101,Archies Limited,ARCHIES
102,Arcotech Limited,ARCOTECH
103,Rajdarshan Industries Limited,ARENTERP
104,Aries Agro Limited,ARIES
105,Arihant Foundations & Housing Limited,ARIHANT
106,Arihant Superstructures Limited,ARIHANTSUP
107,Arman Financial Services Limited,ARMANFIN
108,Aro Granite Industries Limited,AROGRANITE
109,Arrow Greentech Limited,ARROWGREEN
110,Arrow Textiles Limited,ARROWTEX
111,Arshiya Limited,ARSHIYA
112,ARSS Infrastructure Projects Limited,ARSSINFRA
113,Arvind Limited,ARVIND
114,Arvind Fashions Limited,ARVINDFASN
115,Arvind SmartSpaces Limited,ARVSMART
116,Asahi India Glass Limited,ASAHIINDIA
117,Asahi Songwon Colors Limited,ASAHISONG
118,Automotive Stampings and Assemblies Limited,ASAL
119,Ashapura Minechem Limited,ASHAPURMIN
120,Ashiana Housing Limited,ASHIANA
121,Ashima Limited,ASHIMASYN
122,Ashoka Buildcon Limited,ASHOKA
123,Ashok Leyland Limited,ASHOKLEY
124,Asian Hotels (North) Limited,ASIANHOTNR
125,Asian Paints Limited,ASIANPAINT
126,Asian Granito India Limited,ASIANTILES
127,Aspinwall and Company Limited,ASPINWALL
128,Astec LifeSciences Limited,ASTEC
129,Aster DM Healthcare Limited,ASTERDM
130,Astral Poly Technik Limited,ASTRAL
131,Astra Microwave Products Limited,ASTRAMICRO
132,AstraZeneca Pharma India Limited,ASTRAZEN
133,Astron Paper & Board Mill Limited,ASTRON
134,Agro Tech Foods Limited,ATFL
135,Atlanta Limited,ATLANTA
136,Atlas Cycles (Haryana) Limited,ATLASCYCLE
137,Atul Limited,ATUL
138,Atul Auto Limited,ATULAUTO
139,AU Small Finance Bank Limited,AUBANK
140,Aurionpro Solutions Limited,AURIONPRO
141,Aurobindo Pharma Limited,AUROPHARMA
142,Ausom Enterprise Limited,AUSOMENT
143,Automotive Axles Limited,AUTOAXLES
144,Autoline Industries Limited,AUTOIND
145,Autolite (India) Limited,AUTOLITIND
146,Avadh Sugar & Energy Limited,AVADHSUGAR
147,Avanti Feeds Limited,AVANTIFEED
148,AVT Natural Products Limited,AVTNPL
149,Axis Bank Limited,AXISBANK
150,AXISCADES Engineering Technologies Limited,AXISCADES
151,AYM Syntex Limited,AYMSYNTEX
152,B.A.G Films and Media Limited,BAGFILMS
153,Bajaj Auto Limited,BAJAJ-AUTO
154,Bajaj Consumer Care Limited,BAJAJCON
155,Bajaj Electricals Limited,BAJAJELEC
156,Bajaj Finserv Limited,BAJAJFINSV
157,Bajaj Hindusthan Sugar Limited,BAJAJHIND
158,Bajaj Holdings & Investment Limited,BAJAJHLDNG
159,Bajaj Finance Limited,BAJFINANCE
160,Balaji Telefilms Limited,BALAJITELE
161,Balaji Amines Limited,BALAMINES
162,Balaxi Ventures Limited,BALAXI
163,Balkrishna Paper Mills Limited,BALKRISHNA
164,Balkrishna Industries Limited,BALKRISIND
165,Ballarpur Industries Limited,BALLARPUR
166,Balmer Lawrie & Company Limited,BALMLAWRIE
167,Bal Pharma Limited,BALPHARMA
168,Balrampur Chini Mills Limited,BALRAMCHIN
169,Banaras Beads Limited,BANARBEADS
170,Bannari Amman Sugars Limited,BANARISUG
171,Banco Products (I) Limited,BANCOINDIA
172,Bandhan Bank Limited,BANDHANBNK
173,Bang Overseas Limited,BANG
174,Bank of Baroda,BANKBARODA
