,0
0,APOLLOHOSP
1,AUROPHARMA
2,EICHERMOT
3,TATAMTRDVR
4,BPCL
5,BHARATFORG
6,BANKBARODA
7,KAJARIACER
8,GODFRYPHLP
9,RELCAPITAL
10,WIPRO
11,CANFINHOME
12,BAJFINANCE
13,TATAPOWER
14,ESCORTS
15,AJANTPHARM
16,IDBI
17,BSOFT
18,ICICIPRULI
19,BALKRISIND
20,RPOWER
21,MRPL
22,TITAN
23,HINDZINC
24,MRF
25,KOTAKBANK
26,NTPC
27,MCDOWELL-N
28,AXISBANK
29,KSCL
30,INDIGO
31,ORIENTBANK
32,INFY
33,BERGEPAINT
34,BEL
35,RELIANCE
36,IFCI
37,HEROMOTOCO
38,APOLLOTYRE
39,NESTLEIND
40,BRITANNIA
41,DIVISLAB
42,VEDL
43,IDFC
44,POWERGRID
45,INDUSINDBK
46,ADANIENT
47,NMDC
48,PCJEWELLER
49,MGL
50,GODREJCP
51,SYNDIBANK
52,ULTRACEMCO
53,YESBANK
54,TATACOMM
55,NIITTECH
56,JISLJALEQS
57,SIEMENS
58,MOTHERSUMI
59,CGPOWER
60,TATAMOTORS
61,UPL
62,IDEA
63,FEDERALBNK
64,ADANIPOWER
65,BAJAJFINSV
66,ZEEL
67,CONCOR
68,LICHSGFIN
69,HINDALCO
70,SOUTHBANK
71,PVR
72,TECHM
73,SUNPHARMA
74,TATAGLOBAL
75,PNB
76,RBLBANK
77,HDFC
78,PAGEIND
79,DLF
80,ARVIND
81,SRF
82,INFIBEAM
83,COLPAL
84,MANAPPURAM
85,TATACHEM
86,RELINFRA
87,ITC
88,STAR
89,INFRATEL
90,SRTRANSFIN
91,PEL
92,RECLTD
93,HEXAWARE
94,CANBK
95,NCC
96,DABUR
97,ENGINERSIN
98,KTKBANK
99,IRB
100,GAIL
101,L&TFH
102,CIPLA
103,HCLTECH
104,BOSCHLTD
105,JSWSTEEL
106,IGL
107,ASIANPAINT
108,OIL
109,ALBK
110,CHOLAFIN
111,TV18BRDCST
112,ICICIBANK
113,IBULHSGFIN
114,CASTROLIND
115,IDFCFIRSTB
116,MUTHOOTFIN
117,PETRONET
118,WOCKPHARMA
119,TORNTPHARM
120,LUPIN
121,BEML
122,MARUTI
123,GRASIM
124,BATAINDIA
125,GODREJIND
126,INDIACEM
127,CENTURYTEX
128,GSFC
129,DHFL
130,RAMCOCEM
131,BIOCON
132,VOLTAS
133,TATASTEEL
134,EXIDEIND
135,NBCC
136,MCX
137,REPCOHOME
138,UJJIVAN
139,SUZLON
140,IOC
141,OFSS
142,BAJAJ-AUTO
143,SBIN
144,GMRINFRA
145,TVSMOTOR
146,JUBLFOOD
147,SUNTV
148,M&MFIN
149,NATIONALUM
150,RAYMOND
151,CADILAHC
152,HINDUNILVR
153,COALINDIA
154,ONGC
155,BANKINDIA
156,CESC
157,HAVELLS
158,CUMMINSIND
159,VGUARD
160,CHENNPETRO
161,TATAELXSI
162,UBL
163,MFSL
164,ADANIPORTS
165,MARICO
166,GLENMARK
167,ACC
168,SHREECEM
169,INDIANB
170,JINDALSTEL
171,PIDILITIND
172,HDFCBANK
173,EQUITAS
174,SAIL
175,CEATLTD
176,MINDTREE
177,HINDPETRO
178,LT
179,ASHOKLEY
180,DCBBANK
181,DISHTV
182,BHEL
183,TORNTPOWER
184,NHPC
185,DRREDDY
186,PFC
187,UNIONBANK
188,M&M
189,BHARTIARTL
190,AMARAJABAT
191,JUSTDIAL
192,TCS
193,AMBUJACEM
